Sample_PD_ID	tube_barcode_identifier	IRCC_full	IRCC_CASE_ID	Specimen type
PD25987a	FR03482999	CRC0058LMX	CRC0058LM	Xenograft from CRC metastasis
PD25988a2	FR03479852	CRC0080LMX	CRC0080LM	Xenograft from CRC metastasis
PD25988c	FR03483658	CRC0112LMX	CRC0112LM	Xenograft from CRC metastasis
PD25989a	FR03483205	CRC0113LMX	CRC0113LM	Xenograft from CRC metastasis
PD25990c2	FR03480682	CRC0130LMX	CRC0130LM	Xenograft from CRC metastasis
PD25991a	FR03483270	CRC0252LMX	CRC0252LM	Xenograft from CRC metastasis
PD25992a	FR03483283	CRC0067LMX	CRC0067LM	Xenograft from CRC metastasis
PD25993a	FR03483611	CRC0242LMX	CRC0242LM	Xenograft from CRC metastasis
PD25994a	FR03483230	CRC0153LMX	CRC0153LM	Xenograft from CRC metastasis
PD25995a	FR03482968	CRC0120LMX	CRC0120LM	Xenograft from CRC metastasis
PD25996a	FR03483591	CRC0098LMH	CRC0098LM	Original primary CRC 
PD25996c	FR03483642	CRC0098LMX	CRC0098LM	Xenograft from CRC metastasis
PD25997a	FR03484005	CRC0155LMX	CRC0155LM	Xenograft from CRC metastasis
PD25998a2	FR03479900	CRC0178LMX	CRC0178LM	Xenograft from CRC metastasis
PD25999a	FR03483670	CRC0165LMH	CRC0165LM	Original CRC metastasis
PD25999c2	FR03479892	CRC0165LMX	CRC0165LM	Xenograft from CRC metastasis
PD26000a	FR03483221	CRC0117LMX	CRC0117LM	Xenograft from CRC metastasis
PD26001a	FR03482921	CRC0154LMX	CRC0154LM	Xenograft from CRC metastasis
PD26002a	FR03483269	CRC0139LMX	CRC0139LM	Xenograft from CRC metastasis
PD26003a	FR03483293	CRC0148LMX	CRC0148LM	Xenograft from CRC metastasis
PD26004a	FR03483595	CRC0160LMX	CRC0160LM	Xenograft from CRC metastasis
PD26005a	FR03482967	CRC0021LMX	CRC0021LM	Xenograft from CRC metastasis
PD26006a	FR03484011	CRC0077LMX	CRC0077LM	Xenograft from CRC metastasis
PD26007a	FR03483671	CRC0150LMH	CRC0150LM	Original CRC metastasis
PD26007c	FR03483214	CRC0150LMX	CRC0150LM	Xenograft from CRC metastasis
PD26008a	FR03483263	CRC0171LMX	CRC0171LM	Xenograft from CRC metastasis
PD26009a	FR03482984	CRC0133LMX	CRC0133LM	Xenograft from CRC metastasis
PD26010a	FR03483202	CRC0163LMX	CRC0163LM	Xenograft from CRC metastasis
PD26011a2	FR03480518	CRC0161LMX	CRC0161LM	Xenograft from CRC metastasis
PD26012a2	FR03479923	CRC0073LMX	CRC0073LM	Xenograft from CRC metastasis
PD26013a	FR03483231	CRC0167LMX	CRC0167LM	Xenograft from CRC metastasis
PD26014a	FR03483245	CRC0128LMX	CRC0128LM	Xenograft from CRC metastasis
PD26014c	FR03483261	CRC0135LMX	CRC0135LM	Xenograft from CRC metastasis
PD26015a	FR03482983	CRC0056LMX	CRC0056LM	Xenograft from CRC metastasis
PD26016a	FR03483610	CRC0066LMX	CRC0066LM	Xenograft from CRC metastasis
PD26017a	FR03483253	CRC0134LMX	CRC0134LM	Xenograft from CRC metastasis
PD26018a	FR03482993	CRC0059LMX	CRC0059LM	Xenograft from CRC metastasis
PD26020a	FR03483678	CRC0057LMH	CRC0057LM	Original CRC metastasis
PD26020c	FR03482991	CRC0057LMX	CRC0057LM	Xenograft from CRC metastasis
PD26021a	FR03483276	CRC0106LMX	CRC0106LM	Xenograft from CRC metastasis
PD26022a	FR03482919	CRC0137LMX	CRC0137LM	Xenograft from CRC metastasis
PD26023a	FR03483006	CRC0136LMX	CRC0136LM	Xenograft from CRC metastasis
PD26024a2	FR03479860	CRC0103LMX	CRC0103LM	Xenograft from CRC metastasis
PD26025a	FR03483292	CRC0110LMX	CRC0110LM	Xenograft from CRC metastasis
PD26026a	FR03483237	CRC0127LMX	CRC0127LM	Xenograft from CRC metastasis
PD26027a	FR03483275	CRC0064LMX	CRC0064LM	Xenograft from CRC metastasis
PD26028a	FR03483279	CRC0177LMX	CRC0177LM	Xenograft from CRC metastasis
PD26029a	FR03483000	CRC0146LMX	CRC0146LM	Xenograft from CRC metastasis
PD26030a	FR03483222	CRC0152LMX	CRC0152LM	Xenograft from CRC metastasis
PD26031a2	FR03480674	CRC0030LMX	CRC0030LM	Xenograft from CRC metastasis
PD26032a	FR03483260	CRC0104LMX	CRC0104LM	Xenograft from CRC metastasis
PD26033a	FR03483262	CRC0246LMX	CRC0246LM	Xenograft from CRC metastasis
PD26034a	FR03483284	CRC0108LMX	CRC0108LM	Xenograft from CRC metastasis
PD26035a	FR03483973	CRC0358LMX	CRC0358LM	Xenograft from CRC metastasis
PD26035c2	FR03479869	CRC0505LMX	CRC0505LM	Xenograft from CRC metastasis
PD26035d2	FR03480650	CRC0598LMX	CRC0598LM	Xenograft from CRC metastasis
PD26036a	FR03484007	CRC0344LMX	CRC0344LM	Xenograft from CRC metastasis
